p_adx_min,p_macd_hist_min,p_rsi_oversold,p_rsi_overbought,p_atr_regime_ratio,p_enable_momentum_entry,p_cooldown_bars,p_allow_overlap,p_allow_reverse,p_stop_loss_atr,p_trail_activation_atr,p_trail_distance_atr,p_take_profit_atr,p_breakeven_atr,p_leverage,p_margin_pct,p_reduced_margin_pct,p_dd_soft_pct,p_dd_halt_pct,p_dd_resume_pct,trades,wr,pf,sharpe,roi,dd,consecL,halt_bars
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,2,0.25,0.125,12.0,20.0,12.0,1953,60.72708653353814,1.821104925928287,4.4405570245784896,17539.686895724757,10.964752027821001,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,5,0.1,0.05,12.0,20.0,12.0,1953,60.72708653353814,1.821104925928287,4.4405570245784896,17539.686895724757,10.964752027821001,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,5,0.1,0.05,12.0,15.0,8.0,1953,60.72708653353814,1.821104925928287,4.4405570245784896,17539.686895724757,10.964752027821001,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,5,0.1,0.05,12.0,100.0,100.0,1953,60.72708653353814,1.821104925928287,4.4405570245784896,17539.686895724757,10.964752027821001,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,7,0.1,0.05,8.0,20.0,12.0,1953,60.72708653353814,1.7569419563108153,4.178494034258484,141436.15409854232,11.993876371206007,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,7,0.1,0.05,8.0,100.0,100.0,1953,60.72708653353814,1.7569419563108153,4.178494034258484,141436.15409854232,11.993876371206007,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,7,0.1,0.05,8.0,15.0,8.0,1953,60.72708653353814,1.7569419563108153,4.178494034258484,141436.15409854232,11.993876371206007,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,3,0.25,0.125,8.0,20.0,12.0,1953,60.72708653353814,1.7410630947721675,4.192196215116368,236118.9662029463,12.276075853855767,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,5,0.15,0.075,8.0,100.0,100.0,1953,60.72708653353814,1.7410630947721675,4.192196215116368,236118.9662029463,12.276075853855767,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,5,0.15,0.075,8.0,20.0,12.0,1953,60.72708653353814,1.7410630947721675,4.192196215116368,236118.9662029463,12.276075853855767,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,5,0.15,0.075,8.0,15.0,8.0,1953,60.72708653353814,1.7410630947721675,4.192196215116368,236118.9662029463,12.276075853855767,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,3,0.25,0.125,8.0,15.0,8.0,1953,60.72708653353814,1.7410630947721675,4.192196215116368,236118.9662029463,12.276075853855767,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,3,0.25,0.125,8.0,100.0,100.0,1953,60.72708653353814,1.7410630947721675,4.192196215116368,236118.9662029463,12.276075853855767,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,7,0.1,0.05,12.0,15.0,8.0,1953,60.72708653353814,1.757702547218329,4.356483989515746,168330.69554428736,14.229850490596604,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,7,0.1,0.05,12.0,100.0,100.0,1953,60.72708653353814,1.757702547218329,4.356483989515746,168330.69554428736,14.229850490596604,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,7,0.1,0.05,12.0,20.0,12.0,1953,60.72708653353814,1.757702547218329,4.356483989515746,168330.69554428736,14.229850490596604,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,5,0.15,0.075,12.0,100.0,100.0,1953,60.72708653353814,1.7465178572116087,4.346743410680749,290887.32504462934,14.826965581320012,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,3,0.25,0.125,12.0,15.0,8.0,1953,60.72708653353814,1.7465178572116087,4.346743410680749,290887.32504462934,14.826965581320012,7,0
